Abreviacion,Nombre Completo
WALMEX.MX,"Wal-Mart de México, S.A.B. de C.V."
FEMSAUBD.MX,"Fomento Económico Mexicano, S.A.B. de C.V."
ALFAA.MX,Alfa S.A.B. de C.V.
CEMEXCPO.MX,"CEMEX, S.A.B. de C.V."
BIMBOA.MX,"Grupo Bimbo, S.A.B. de C.V."
GFNORTEO.MX,"Grupo Financiero Banorte, S.A.B. de C.V."
SORIANAB.MX,"Organización Soriana, S. A. B. de C. V."
ALPEKA.MX,"ALPEK, S.A.B. de C.V."
GCARSOA1.MX,"Grupo Carso, S.A.B. de C.V."
LIVEPOL1.MX,"El Puerto de Liverpool, S.A.B. de C.V."
ELEKTRA.MX,"Grupo Elektra, S.A.B. de C.V."
PE&OLES.MX,"Industrias Peñoles, S.A.B. de C.V."
GFINBURO.MX,"Grupo Financiero Inbursa, S.A.B. de C.V."
GRUMAB.MX,"Gruma, S.A.B. de C.V."
AHMSA.MX,Altos Hornos de Mexico SA AHMSA
BACHOCOB.MX,"Industrias Bachoco, S.A.B. de C.V."
ICA.MX,"Empresas ICA, S.A.B. de C.V."
CULTIBAB.MX,"Organización Cultiba, S.A.B. de C.V."
GNP.MX,"Grupo Nacional Provincial, S.A.B."
FRAGUAB.MX,"Corporativo Fragua, S.A.B. de C.V."
ICHB.MX,"Industrias CH, S. A. B. de C. V."
KIMBERA.MX,"Kimberly-Clark de México, S. A. B. de C. V."
SIMECB.MX,"Grupo Simec, S.A.B. de C.V."
ALSEA.MX,"Alsea, S.A.B. de C.V."
GPH1.MX,"Grupo Palacio de Hierro, S.A.B. de C.V."
VITROA.MX,"Vitro, S.A.B. de C.V."
GIGANTE.MX,"Grupo Gigante, S. A. B. de C. V."
KUOB.MX,"Grupo KUO, S.A.B. de C.V."
OHLMEX.MX,"Aleatica, S.A.B. de C.V."
GENTERA.MX,"Gentera, S.A.B. de C.V."
GFAMSAA.MX,"Grupo Famsa, S.A.B. de C.V."
HERDEZ.MX,"Grupo Herdez, S.A.B. de C.V."
VOLARA.MX,"Controladora Vuela Compañía de Aviación, S.A.B. de C.V."
GFINTERO.MX,"Grupo Financiero Interacciones, S.A. de C.V."
LABB.MX,"Genomma Lab Internacional, S.A.B. de C.V."
MEGACPO.MX,"Megacable Holdings, S. A. B. de C. V."
BEVIDESA.MX,Farmacias Benavides SAB de CV
IENOVA.MX,"Infraestructura Energética Nova, S.A.B. de C.V."
AXTELCPO.MX,"Axtel, S.A.B. de C.V."
GCC.MX,"GCC, S.A.B. de C.V."
GISSAA.MX,"Grupo Industrial Saltillo, S.A.B. de C.V."
CMOCTEZ.MX,"Corporación Moctezuma, S.A.B. de C.V."
BAFARB.MX,"Grupo Bafar, S.A.B. de C.V."
GPROFUT.MX,"Grupo Profuturo, S.A.B. de C.V."
